ID,coal,wood,Dmin,micro,meso,SSA,pore size,Fe,waste water,Lake,DI,C0,M,pH,temperature,time,rate,Ca,Re
90,1,0,0.9,0.277013898,0.238594919,712,2.499833345,0,0,0,1,50000,100,3,25,96,150,0,29.81304
91,1,0,0.9,0.277013898,0.238594919,712,2.499833345,0,0,0,1,50000,100,3,25,120,150,0,30.64118
92,1,0,0.9,0.277013898,0.238594919,712,2.499833345,0,0,0,1,50000,100,3,25,144,150,0,30.64118
93,1,0,0.9,0.277013898,0.238594919,712,2.499833345,0,0,0,1,50000,100,3,25,168,150,0,30.64118
94,1,0,0.9,0.277013898,0.238594919,712,2.499833345,0,0,0,1,50000,100,3,25,192,150,0,30.64118
95,1,0,0.9,0.277013898,0.16299279,712,2.499833345,0,0,0,1,50000,100,7,25,1,150,0,0.82814
96,1,0,0.9,0.277013898,0.202723041,712,2.499833345,0,0,0,1,50000,100,7,25,6,150,0,3.31256
97,1,0,0.9,0.277013898,0.202723041,712,2.499833345,0,0,0,1,50000,100,7,25,12,150,0,6.62512
98,1,0,0.9,0.277013898,0.202723041,712,2.499833345,0,0,0,1,50000,100,7,25,24,150,0,7.45326
99,1,0,0.9,0.277013898,0.202723041,712,2.499833345,0,0,0,1,50000,100,7,25,48,150,0,11.59396
100,1,0,0.9,0.277013898,0.202723041,712,2.499833345,0,0,0,1,50000,100,7,25,72,150,0,14.90652
101,1,0,0.9,0.277013898,0.202723041,712,2.499833345,0,0,0,1,50000,100,7,25,96,150,0,16.5628
102,1,0,0.9,0.277013898,0.202723041,712,2.499833345,0,0,0,1,50000,100,7,25,120,150,0,18.21908
103,1,0,0.9,0.277013898,0.202723041,712,2.499833345,0,0,0,1,50000,100,7,25,144,150,0,19.04722
104,1,0,0.9,0.277013898,0.202723041,712,2.499833345,0,0,0,1,50000,100,7,25,168,150,0,19.87536
105,1,0,0.9,0.277013898,0.202723041,712,2.499833345,0,0,0,1,50000,100,7,25,192,150,0,19.87536
106,1,0,0.9,0.277013898,0.241264313,712,2.499833345,0,0,0,1,20000,100,5,25,168,150,0,37.2663
107,1,0,0.9,0.277013898,0.241264313,712,2.499833345,0,0,0,1,50000,100,5,25,168,150,0,19.87536
