ID,ground water,surface water,Lake,C0,coal,wood,Dmin,Dmax,micro,meso,SSA,pore size,Fe,M,pH,temperature,time,rate,Ca,TOC,Re
71,0,0,0,81000,0,1,0.45,0.9,0.211662665,0.67,2450,2.359827518,0,100,4,25,48,175,0,0,69.5228642
72,0,0,0,81000,0,1,0.45,0.9,0.211662665,0.67,2450,2.359827518,0,100,5,25,48,175,0,0,49.07496296
73,0,0,0,81000,0,1,0.45,0.9,0.211662665,0.67,2450,2.359827518,0,100,6,25,48,175,0,0,40.89580247
74,0,0,0,81000,0,1,0.45,0.9,0.211662665,0.67,2450,2.359827518,0,100,7,25,48,175,0,0,38.85101235
75,0,0,0,81000,0,1,0.45,0.9,0.211662665,0.67,2450,2.359827518,0,100,8,25,48,175,0,0,37.31741975
76,0,0,0,81000,0,1,0.45,0.9,0.211662665,0.67,2450,2.359827518,0,100,9,25,48,175,0,0,36.29502469
77,0,0,0,81000,0,1,0.45,0.9,0.211662665,0.67,2450,2.359827518,0,100,10,25,48,175,0,0,34.7614321
78,0,0,0,20000,0,1,0.45,0.9,0.211662665,0.67,2450,2.359827518,0,100,5,25,48,175,0,0,84.88435
79,0,0,0,50000,0,1,0.45,0.9,0.211662665,0.67,2450,2.359827518,0,100,5,25,48,175,0,0,62.93864
80,0,0,0,100000,0,1,0.45,0.9,0.211662665,0.67,2450,2.359827518,0,100,5,25,48,175,0,0,36.02409
81,0,0,0,150000,0,1,0.45,0.9,0.211662665,0.67,2450,2.359827518,0,100,5,25,48,175,0,0,26.77652667
82,0,0,0,200000,0,1,0.45,0.9,0.211662665,0.67,2450,2.359827518,0,100,5,25,48,175,0,0,21.11757
83,0,0,0,250000,0,1,0.45,0.9,0.211662665,0.67,2450,2.359827518,0,100,5,25,48,175,0,0,19.04722
84,0,0,0,50000,1,0,0.9,1,0.250492424,0.213117763,712,2.499833345,0,100,3,25,1,150,0,0,10.76582
85,0,0,0,50000,1,0,0.9,1,0.250492424,0.212724,712,2.499833345,0,100,3,25,6,150,0,0,15.73466
86,0,0,0,50000,1,0,0.9,1,0.250492424,0.212724,712,2.499833345,0,100,3,25,12,150,0,0,18.21908
87,0,0,0,50000,1,0,0.9,1,0.250492424,0.211151749,712,2.499833345,0,100,3,25,24,150,0,0,21.53164
88,0,0,0,50000,1,0,0.9,1,0.250492424,0.211151749,712,2.499833345,0,100,3,25,48,150,0,0,25.67234
89,0,0,0,50000,1,0,0.9,1,0.250492424,0.211151749,712,2.499833345,0,100,3,25,72,150,0,0,29.81304
90,0,0,0,50000,1,0,0.9,1,0.250492424,0.211151749,712,2.499833345,0,100,3,25,96,150,0,0,29.81304
91,0,0,0,50000,1,0,0.9,1,0.250492424,0.211151749,712,2.499833345,0,100,3,25,120,150,0,0,30.64118
92,0,0,0,50000,1,0,0.9,1,0.250492424,0.211151749,712,2.499833345,0,100,3,25,144,150,0,0,30.64118
93,0,0,0,50000,1,0,0.9,1,0.250492424,0.211151749,712,2.499833345,0,100,3,25,168,150,0,0,30.64118
94,0,0,0,50000,1,0,0.9,1,0.250492424,0.211151749,712,2.499833345,0,100,3,25,192,150,0,0,30.64118
95,0,0,0,50000,1,0,0.9,1,0.250492424,0.144321844,712,2.499833345,0,100,7,25,1,150,0,0,0.82814
96,0,0,0,50000,1,0,0.9,1,0.250492424,0.178447053,712,2.499833345,0,100,7,25,6,150,0,0,3.31256
97,0,0,0,50000,1,0,0.9,1,0.250492424,0.178447053,712,2.499833345,0,100,7,25,12,150,0,0,6.62512
98,0,0,0,50000,1,0,0.9,1,0.250492424,0.179733753,712,2.499833345,0,100,7,25,24,150,0,0,7.45326
99,0,0,0,50000,1,0,0.9,1,0.250492424,0.178454444,712,2.499833345,0,100,7,25,48,150,0,0,11.59396
100,0,0,0,50000,1,0,0.9,1,0.250492424,0.178060681,712,2.499833345,0,100,7,25,72,150,0,0,14.90652
101,0,0,0,50000,1,0,0.9,1,0.250492424,0.178060681,712,2.499833345,0,100,7,25,96,150,0,0,16.5628
102,0,0,0,50000,1,0,0.9,1,0.250492424,0.178060681,712,2.499833345,0,100,7,25,120,150,0,0,18.21908
103,0,0,0,50000,1,0,0.9,1,0.250492424,0.178060681,712,2.499833345,0,100,7,25,144,150,0,0,19.04722
